skill_no,skill_name,campaign_no,media_type
35627723,Critical Incident Escalation,5805114,4
16369880,DHPe_BookNew,5684419,4
16392239,DHPe_CHIP_BookNew,5684419,4
16392243,DHPe_CHIP_WMR,5684419,4
16369889,DHPe_Issue,5684419,4
16369893,DHPe_ITP,5684419,4
16392237,DHPe_Star_BookNew,5684419,4
16392244,DHPe_Star_WMR,5684419,4
16392246,DHPe_StarKids_BookNew,5684419,4
16392248,DHPe_StarKids_WMR,5684419,4
16392250,DHPe_Unknown_BookNew,5684419,4
16392252,DHPe_Unknown_WMR,5684419,4
16369882,DHPe_WMR,5684419,4
16369881,DHPs_BookNew,5684419,4
16392240,DHPs_CHIP_BookNew,5684419,4
16392241,DHPs_CHIP_WMR,5684419,4
16369890,DHPs_Issue,5684419,4
16369894,DHPs_ITP,5684419,4
16392238,DHPs_Star_BookNew,5684419,4
16392245,DHPs_Star_WMR,5684419,4
16392247,DHPs_StarKids_BookNew,5684419,4
16392249,DHPs_StarKids_WMR,5684419,4
16392251,DHPs_Unknown_BookNew,5684419,4
16392253,DHPs_Unknown_WMR,5684419,4
16369883,DHPs_WMR,5684419,4
35690295,Dialysis Support Escalation,5805114,4
20999301,Driver Compliance Xfer,5684330,4
18556362,Eternal WMR SP,5684838,4
20703964,Eternal_After_Hours_EN,5684838,4
20703965,Eternal_After_Hours_SP,5684838,4
18556338,Eternal_Reserv EN,5684838,4
18556339,Eternal_Reserv SP,5684838,4
18556340,Eternal_WMR EN,5684838,4
18556361,Excellus WMR SP,5684837,4
18556333,Excellus_Reserv EN,5684837,4
18556334,Excellus_Reserv SP,5684837,4
18556335,Excellus_WMR EN,5684837,4
31292600,Executive_Assistance,5684330,4
35627480,Facilities Portal Other,5631546,4
35627479,Facilities Portal Support,5631546,4
35627972,Focus Member Inbound,5684330,4
27191933,FWA_Escalations,5684330,4
23113636,Gonzaba_Provider_Support,5804634,4
35627670,HB_BCBS_NC_Res_EN,5684834,4
35627671,HB_BCBS_NC_Res_SP,5684834,4
35627672,HB_BCBS_NC_WMR_EN,5684834,4
35627673,HB_BCBS_NC_WMR_SP,5684834,4
23112860,Highmark_After_Hours_EN,5804566,4
23112861,Highmark_After_Hours_SP,5804566,4
23112856,Highmark_Reserve_EN,5804566,4
23112857,Highmark_Reserve_SP,5804566,4
23112858,Highmark_WMR_EN,5804566,4
23112859,Highmark_WMR_SP,5804566,4
20923189,HTA_Reserv_EN,5804336,4
20923190,HTA_Reserv_SP,5804336,4
20923191,HTA_WMR_EN,5804336,4
20923192,HTA_WMR_SP,5804336,4
23067545,Humana_Group_After_Hours_EN,5804544,4
23067546,Humana_Group_After_Hours_SP,5804544,4
23067543,Humana_Group_GMR_EN,5804544,4
23067544,Humana_Group_GMR_SP,5804544,4
23067549,Humana_Group_MR_EN,5804544,4
23067550,Humana_Group_MR_SP,5804544,4
23067538,Humana_Group_Reserve_EN,5804544,4
23067539,Humana_Group_Reserve_SP,5804544,4
23067540,Humana_Group_WMR_EN,5804544,4
23067541,Humana_Group_WMR_SP,5804544,4
23112843,Humana_Ind_After_Hours_EN,5804545,4
23112844,Humana_Ind_After_Hours_SP,5804545,4
23112845,Humana_Ind_GMR_EN,5804545,4
23112846,Humana_Ind_GMR_SP,5804545,4
23112847,Humana_Ind_MR_EN,5804545,4
23112848,Humana_Ind_MR_SP,5804545,4
23112849,Humana_Ind_Reserve_EN,5804545,4
23112850,Humana_Ind_Reserve_SP,5804545,4
23112851,Humana_Ind_WMR_EN,5804545,4
23112852,Humana_Ind_WMR_SP,5804545,4
35627452,Humana_MI_Alt_Trans_EN,5805131,4
35627453,Humana_MI_Alt_Trans_SP,5805131,4
35627450,Humana_MI_GMR_EN,5805131,4
35627451,Humana_MI_GMR_SP,5805131,4
35627446,Humana_MI_Res_EN,5805131,4
35627447,Humana_MI_Res_SP,5805131,4
35627448,Humana_MI_WMR_EN,5805131,4
35627449,Humana_MI_WMR_SP,5805131,4
16361888,IHA Reservations EN,5684311,4
16361889,IHA Reservations SP,5684311,4
16361890,IHA WMR EN,5684311,4
16361891,IHA WMR SP,5684311,4
10705499,KCA NEMT Support - EN,5631653,4
10705500,KCA Network Support - EN,5631653,4
10705501,KCA Prequeue IVR - NO AGENT,5631653,4
10705498,KCA_Care_Provider_Support,5631653,4
16361892,KPCO Reservations EN,5684306,4
16361893,KPCO Reservations SP,5684306,4
16361894,KPCO WMR EN,5684306,4
16361895,KPCO WMR SP,5684306,4
23067449,KPCO_After_Hours_EN,5684306,4
23067450,KPCO_After_Hours_SP,5684306,4
16361896,KPGA Reservations EN,5684307,4
16361897,KPGA Reservations SP,5684307,4
16361898,KPGA WMR EN,5684307,4
16361899,KPGA WMR SP,5684307,4
23067458,KPGA_After_Hours_EN,5684307,4
23067451,KPGA_After_Hours_SP,5684307,4
11384718,KPMA_After_Hours_EN,5684187,4
11384719,KPMA_After_Hours_SP,5684187,4
11384661,KPMA_Reservations,5684187,4
11384663,KPMA_Spanish_Reservations,5684187,4
11384664,KPMA_Spanish_WMR,5684187,4
11384662,KPMA_WMR,5684187,4
18557059,Meals_and_Lodging_En,5631688,4
18557060,Meals_and_Lodging_Sp,5631688,4
18556363,Medigold WMR SP,5684840,4
18556343,Medigold_Reserv EN,5684840,4
18556344,Medigold_Reserv SP,5684840,4
18556345,Medigold_WMR EN,5684840,4
23067070,Mem_Her_Reserv_EN,5804510,4
23067072,Mem_Her_Reserv_SP,5804510,4
23067071,Mem_Her_WMR_EN,5804510,4
23067073,Mem_Her_WMR_SP,5804510,4
27191801,Member App Support,5804638,4
23067457,Meridian_After_Hours_EN,5804414,4
23067452,Meridian_After_Hours_SP,5804414,4
20998655,Meridian_GMR_EN,5804414,4
20998657,Meridian_GMR_SP,5804414,4
20948267,Meridian_MR_En,5804414,4
20948268,Meridian_MR_Sp,5804414,4
20948263,Meridian_Reserv_En,5804414,4
20948264,Meridian_Reserv_Sp,5804414,4
20948266,Meridian_WMR_En,5804414,4
20948265,Meridian_WMR_Sp,5804414,4
10826921,Mileage_Reim_Billing,5631688,4
23112864,MMO_After_Hours_EN,5804567,4
23112865,MMO_After_Hours_SP,5804567,4
23112862,MMO_Reserve_EN,5804567,4
23112863,MMO_Reserve_SP,5804567,4
23112866,MMO_WMR_EN,5804567,4
23112867,MMO_WMR_SP,5804567,4
20999300,NEMT Billing Xfer,5684330,4
20922804,NEMT_Billing,5684330,4
23113065,NEW_Meals_SP,5631688,4
16362699,NPX IB,5684390,4
10660520,NTL_Care_Provider_Support,5631546,4
10660521,NTL_NEMT_Support,5631546,4
20922737,Optum_Reserv EN,5804291,4
20922738,Optum_Reserv SP,5804291,4
20922739,Optum_WMR En,5804291,4
20922740,Optum_WMR Sp,5804291,4
23113472,Overflow Return,5804607,4
35627833,PC CSR Escalation,5684330,4
16438701,Poly AI_Resv_En,5684644,4
16438702,Poly AI_Resv_Sp,5684644,4
16438722,Poly AI_WMR_En,5684644,4
16438723,Poly AI_WMR_Sp,5684644,4
20948444,PolyAI_Medicaid,5684902,4
10660650,Prequeue IVR - NO AGENT,5631546,4
16361902,Priority Health WMR EN,5684310,4
16361903,Priority Health WMR SP,5684310,4
16361900,Priority Health_Reserv EN,5684310,4
16361901,Priority Health_Reserv SP,5684310,4
20922938,Priority_Medicaid_Issue_EN,5804323,4
20922939,Priority_Medicaid_Issue_SP,5804323,4
20922934,Priority_Medicaid_ITP_EN,5804323,4
20922935,Priority_Medicaid_ITP_SP,5804323,4
20922936,Priority_Medicaid_PTP_EN,5804323,4
20922937,Priority_Medicaid_PTP_SP,5804323,4
20922931,Priority_Medicaid_Resv_EN,5804323,4
20922930,Priority_Medicaid_Resv_SP,5804323,4
20922933,Priority_Medicaid_WMR_EN,5804323,4
20922932,Priority_Medicaid_WMR_SP,5804323,4
23112870,Prod_Ops_Demo,5684902,4
27192359,Routing_Internal_Transfer,5685076,4
10660522,Saferide_Health_Billing,5631546,4
16370263,SCAN Escalations 2023,5684445,4
18556838,SCAN_After_Hours_EN,5684858,4
18556839,SCAN_After_Hours_SP,5684858,4
27192003,Scan_GMR_EN,5684858,4
27192004,Scan_GMR_SP,5684858,4
27192005,Scan_MR_En,5684858,4
27192006,Scan_MR_SP,5684858,4
18556549,SCAN_Reserv EN,5684858,4
18556550,SCAN_Reserv SP,5684858,4
18556551,SCAN_WMR EN,5684858,4
18556552,SCAN_WMR SP,5684858,4
31292314,Sendero_ACHP_Resv Sp,5684663,4
31292313,Sendero_ACHP_Resv_En,5684663,4
31292315,Sendero_ACHP_WMR Sp,5684663,4
31292316,Sendero_ACHP_WMR_En,5684663,4
23067456,Sendero_After_Hours_EN,5684663,4
23067453,Sendero_After_Hours_SP,5684663,4
16472169,Sendero_Health_Resv En,5684663,4
16472171,Sendero_Health_Resv Sp,5684663,4
16472170,Sendero_Health_WMR En,5684663,4
16472669,Sendero_Health_WMR SP,5684663,4
20827267,SHP_In_Co_Que_En,5631688,4
10828502,SHP_In_Co_Que_SP,5631688,4
20827222,SHPe_BookNew,5631688,4
20827231,SHPe_Issue,5631688,4
20827224,SHPe_ITP_Reim,5631688,4
10827433,SHPe_MMP_BookNew,5631934,4
10827439,SHPe_MMP_Issue,5631934,4
10827436,SHPe_MMP_ITP_Reim,5631934,4
10827435,SHPe_MMP_LDT,5631934,4
10827438,SHPe_MMP_PTP,5631934,4
10827434,SHPe_MMP_WMR,5631934,4
10828517,SHPe_OtherPlan,5631937,4
20827228,SHPe_PTP,5631688,4
10827405,SHPe_Star_BookNew,5631932,4
10827410,SHPe_Star_Issue,5631932,4
10827408,SHPe_Star_ITP_Reim,5631932,4
10827407,SHPe_Star_LDT,5631932,4
10827409,SHPe_Star_PTP,5631932,4
10827406,SHPe_Star_WMR,5631932,4
10828490,SHPe_StarH_inCOco_BookNew,5631936,4
10828495,SHPe_StarH_inCOco_Issue,5631936,4
10828493,SHPe_StarH_inCOco_ITP_Reim,5631936,4
10828492,SHPE_StarH_inCOco_LDT,5631936,4
10828494,SHPe_StarH_inCOco_PTP,5631936,4
10828491,SHPe_StarH_inCOco_WMR,5631936,4
10828496,SHPe_StarH_outCOco_BookNew,5631936,4
10828501,SHPe_StarH_outCOco_Issue,5631936,4
10828499,SHPe_StarH_outCOco_ITP_Reim,5631936,4
10828498,SHPe_StarH_outCOco_LDT,5631936,4
10828500,SHPe_StarH_outCOco_PTP,5631936,4
10828497,SHPe_StarH_outCOco_WMR,5631936,4
10828478,SHPe_StarKids_inCOco_BookNew,5631935,4
10828483,SHPe_StarKids_inCOco_Issue,5631935,4
10828481,SHPe_StarKids_inCOco_ITP_Reim,5631935,4
10828480,SHPe_StarKids_inCOco_LDT,5631935,4
10828482,SHPe_StarKids_inCOco_PTP,5631935,4
10828479,SHPe_StarKids_inCOco_WMR,5631935,4
10828484,SHPe_StarKids_outCOco_BookNew,5631935,4
10828489,SHPe_StarKids_outCOco_Issue,5631935,4
10828487,SHPe_StarKids_outCOco_ITP_Reim,5631935,4
10828486,SHPe_StarKids_outCOco_LDT,5631935,4
10828488,SHPe_StarKids_outCOco_PTP,5631935,4
10828485,SHPe_StarKids_outCOco_WMR,5631935,4
10827424,SHPe_StarPlus_BookNew,5631933,4
10827430,SHPe_StarPlus_Issue,5631933,4
10827427,SHPe_StarPlus_ITP_Reim,5631933,4
10827426,SHPe_StarPlus_LDT,5631933,4
10827429,SHPe_StarPlus_PTP,5631933,4
10827425,SHPe_StarPlus_WMR,5631933,4
10828516,SHPe_UnknownPlan,5631937,4
20827183,SHPe_WMR,5631688,4
20827223,SHPs_BookNew,5631688,4
20827232,SHPs_Issue,5631688,4
20827225,SHPs_ITP_Reim,5631688,4
10827440,SHPs_MMP_BookNew,5631934,4
10827448,SHPs_MMP_Issue,5631934,4
10827445,SHPs_MMP_ITP_Reim,5631934,4
10827443,SHPs_MMP_LDT,5631934,4
10827447,SHPs_MMP_PTP,5631934,4
10827441,SHPs_MMP_WMR,5631934,4
10828515,SHPs_OtherPlan,5631937,4
20827230,SHPs_PTP,5631688,4
10827411,SHPs_Star_BookNew,5631932,4
10827416,SHPs_Star_Issue,5631932,4
10827414,SHPs_Star_ITP_Reim,5631932,4
10827413,SHPs_Star_LDT,5631932,4
10827415,SHPs_Star_PTP,5631932,4
10827412,SHPs_Star_WMR,5631932,4
10828507,SHPs_StarH_inCOco_Issue,5631936,4
10828505,SHPs_StarH_inCOco_ITP_Reim,5631936,4
10828504,SHPs_StarH_inCOco_LDT,5631936,4
10828506,SHPs_StarH_inCOco_PTP,5631936,4
10828503,SHPs_StarH_inCOco_WMR,5631936,4
10828508,SHPs_StarH_outCOco_BookNew,5631936,4
10828513,SHPs_StarH_outCOco_Issue,5631936,4
10828511,SHPs_StarH_outCOco_ITP_Reim,5631936,4
10828510,SHPs_StarH_outCOco_LDT,5631936,4
10828512,SHPs_StarH_outCOco_PTP,5631936,4
10828509,SHPs_StarH_outCOco_WMR,5631936,4
10827464,SHPs_StarKids_inCOco_BookNew,5631935,4
10828471,SHPs_StarKids_inCOco_Issue,5631935,4
10828469,SHPs_StarKids_inCOco_ITP_Reim,5631935,4
10828468,SHPs_StarKids_inCOco_LDT,5631935,4
10828470,SHPs_StarKids_inCOco_PTP,5631935,4
10828467,SHPs_StarKids_inCOco_WMR,5631935,4
10828472,SHPs_StarKids_outCOco_BookNew,5631935,4
10828477,SHPs_StarKids_outCOco_Issue,5631935,4
10828475,SHPs_StarKids_outCOco_ITP_Reim,5631935,4
10828474,SHPs_StarKids_outCOco_LDT,5631935,4
10828476,SHPs_StarKids_outCOco_PTP,5631935,4
10828473,SHPs_StarKids_outCOco_WMR,5631935,4
10827417,SHPs_StarPlus_BookNew,5631933,4
10827423,SHPs_StarPlus_Issue,5631933,4
10827420,SHPs_StarPlus_ITP_Reim,5631933,4
10827419,SHPs_StarPlus_LDT,5631933,4
10827421,SHPs_StarPlus_PTP,5631933,4
10827418,SHPs_StarPlus_WMR,5631933,4
10828514,SHPs_UnknownPlan,5631937,4
20827221,SHPs_WMR,5631688,4
35627444,Silver_Summit_Alt_Trans_EN,5805132,4
35627445,Silver_Summit_Alt_Trans_SP,5805132,4
35627442,Silver_Summit_GMR_EN,5805132,4
35627443,Silver_Summit_GMR_SP,5805132,4
35627439,Silver_Summit_Res_EN,5805132,4
35627438,Silver_Summit_Res_SP,5805132,4
35627440,Silver_Summit_WMR_EN,5805132,4
35627441,Silver_Summit_WMR_SP,5805132,4
23113593,Sonder_After_Hours_EN,5685077,4
23113594,Sonder_After_Hours_SP,5685077,4
20789136,Sonder_Existing,5685077,4
20789137,Sonder_Other,5685077,4
23112783,Sonder_Reserve_EN,5685077,4
23112784,Sonder_Reserve_SP,5685077,4
23112785,Sonder_WMR_EN,5685077,4
23112786,Sonder_WMR_SP,5685077,4
20947947,Spanish_Xfer,5684330,4
18619265,StevenDemo_ReserveEn,5684902,4
18619266,StevenDemo_ReserveSp,5684902,4
18619267,StevenDemo_WMREn,5684902,4
18619268,StevenDemo_WMRSp,5684902,4
23067455,Sunflower_After_Hours_EN,5804532,4
23067454,Sunflower_After_Hours_SP,5804532,4
23067368,Sunflower_GMR_EN,5804532,4
23067369,Sunflower_GMR_SP,5804532,4
23067370,Sunflower_MR_EN,5804532,4
23067371,Sunflower_MR_SP,5804532,4
23067365,Sunflower_Reserve_EN,5804532,4
23067366,Sunflower_Reserve_SP,5804532,4
23067372,Sunflower_Waiver_EN,5804532,4
23067373,Sunflower_WMR_EN,5804532,4
23067374,Sunflower_WMR_SP,5804532,4
10706244,Superior - Care Provider,5631688,4
10705851,Superior - Prequeue IVR,5631688,4
10826939,Superior - Provider Support,5631688,4
16472172,Test Skill,5684664,4
23067561,Test_Skill,5684664,4
20922768,Trans_Provider_Support_Central,5684330,4
20922767,Trans_Provider_Support_Eastern,5684330,4
20922769,Trans_Provider_Support_MST,5684330,4
20922766,Trans_Provider_Support_Pacific,5684330,4
16361905,Troy Medicare Reservation SP,5684312,4
16361904,Troy Medicare Reservations EN,5684312,4
16361906,Troy Medicare WMR EN,5684312,4
16361907,Troy Medicare WMR SP,5684312,4
35627186,TX_Childrens_Alt_Trans_EN,5805115,4
35627187,TX_Childrens_Alt_Trans_SP,5805115,4
35627184,TX_Childrens_GMR_EN,5805115,4
35627185,TX_Childrens_GMR_SP,5805115,4
35627180,TX_Childrens_Reservations_EN,5805115,4
35627181,TX_Childrens_Reservations_SP,5805115,4
35627182,TX_Childrens_WMR_EN,5805115,4
35627183,TX_Childrens_WMR_SP,5805115,4
23067523,Uber_Provider_Support_EN,5804541,4
23067524,Uber_Provider_Support_SP,5804541,4
18620033,UHC_After_Hours_EN,5684839,4
18620034,UHC_After_Hours_SP,5684839,4
35627363,UHC_DC_Alt_En,5805114,4
35627364,UHC_DC_Alt_Sp,5805114,4
35627361,UHC_DC_GMR_En,5805114,4
35627362,UHC_DC_GMR_Sp,5805114,4
35627357,UHC_DC_Res_En,5805114,4
35627358,UHC_DC_Res_Sp,5805114,4
35627359,UHC_DC_WMR_En,5805114,4
35627360,UHC_DC_WMR_Sp,5805114,4
20923304,UHC_Florida_DSNP,5684839,4
35627397,UHC_FM_Generic_En,5805114,4
35627398,UHC_FM_Generic_Sp,5805114,4
23113014,UHC_Group_Retiree,5684839,4
